1996 Item,Higher Confidence Source,Final Confidence Level,Final Predicted HS Code
"(5-2-chloro-4-(trifluoromethyl)phenoxy-n-(methylsulfonyl)-2-nitrobenzamide)(fomesafen), n-(2,6-dichloro-3-methylphenyl)-5-amino-1,3,4-triazole-2-sulfonamide, 2,4-dichloro-5-sulfamoylbenzoic acide, n-e",HF,0.8485501408576965,29359013
"1,3-Bis(aminoethyl)cyclohexane",HF,1.0,29213005
"1-Hydroxy-6-octadecyloxy-2-naphthalenecarboxylic acid, and 1-hydroxy-6-docosyloxy-2-naphthalenecarboxylic acid",HF,0.9915503263473512,29189906
"1/ 1-Ethyl-6-fluoro-1,4-dihydro-4-oxo-7-(1-piperazinyl)-3-quinolinecarboxylic",HF,0.7715380787849426,29334917
1/ 3-Aminopropanol (CAS No. 156-87-6),HF,0.6612285375595093,29242926
1/ 3-Ethylamino-p-cresol (provided for in,HF,0.6581494808197021,29222915
1/ 4-Methoxyaniline-2-sulfonic acid (provided,HF,0.7009438872337341,29145010
1/ 6-Amino-4-hydroxy-2-naphthalenesulfonic,HF,0.8536044359207153,29089906
1/ 8-Amino-2-naphthalenesulfonic acid,HF,0.8155696392059326,29089906
1/ Airfield lighting regulators; automatic,GPT,0.5113487839698792,90328920
1/ Aluminum fittings used solely or,GPT,0.7711048126220703,76090000
1/ Any mixture containing ethyl,GPT,0.6317033767700195,29012100
1/ Barbituric acid (provided for in,HF,0.7525389194488525,29335290
1/ Base paper to be sensitized for use in,GPT,0.7577257752418518,37021000
"1/ Cheeses and substitutes for cheeses, valued",HF,0.6656323671340942,99040642
1/ Closed-face spin casting fishing reels,GPT,0.5864534378051758,95073080
1/ Electronic keyboxes and parts thereof,GPT,0.5196977853775024,83017000
"1/ Film, of a thickness not exceeding 0.025 mm,",HF,0.6583672761917114,80070020
1/ Flexible closed-cell rubber tubing designed,GPT,0.6113665699958801,40081980
1/ If entered during the effective period of,GPT,0.4600906670093536,99040501
1/ If entered during the month of,HF,0.4406000375747681,8084040
1/ If entered during the period,GPT,0.5669451951980591,99130805
1/ If entered during the period,GPT,0.5669451951980591,99130805
1/ If entered during the period,GPT,0.5669451951980591,99130805
1/ If entered during the period,GPT,0.5669451951980591,99130805
1/ Impact line printers using band drive,GPT,0.4961904585361481,84431150
1/ Insulators for precipitators (provided for,GPT,0.589584231376648,85469000
"1/ Methylamine, whether or not in solution",GPT,0.6156253218650818,29215940
1/ Motorized stair climbing exercise,GPT,0.512814998626709,85437098
1/ Parts and accessories of the instruments,GPT,0.6840072870254517,90230000
1/ Parts of molten-salt-cooled acrylic acid,HF,0.7411856055259705,29161100
"1/ Pet food packaged for retail sale,",HF,0.7522029876708984,23091000
"1/ Polyvinyl chloride edgebanding, of a width",GPT,0.5426429510116577,44111220
1/ Pork hams and shoulders (except,GPT,0.8019765019416809,2101900
1/ Provided for in subheading 0404.10.15.... 1/ 38.5¢/kg + 3.2%,GPT,0.5982917547225952,99129543
1/ Provided for in subheading 1702.20.28.... 1/ 6.3¢/kg of total sugars + 1.9%,HF,0.664087176322937,99041739
1/ Provided for in subheading 1702.90.58.... 1/ 12.6¢/kg of total sugars + 1.9%,HF,0.6646751165390015,99041739
